,Base_Gallons,Beginning_Gallons,Lifted_Gallons,Execution_Date,Supplier,product_name,Account_Type,terminal_name,period,batchno,change
43,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Citgo Columbus,Daily,8,1
44,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Citgo Columbus,Daily,9,1
45,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Citgo Columbus,Daily,10,1
46,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Citgo Dayton,Daily,8,1
47,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Citgo Dayton,Daily,9,1
48,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Citgo Dayton,Daily,10,1
49,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Citgo Huntington,Daily,8,1
50,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Citgo Huntington,Daily,9,1
51,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Citgo Huntington,Daily,10,1
52,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Citgo Toledo,Daily,8,1
53,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Citgo Toledo,Daily,9,1
54,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Citgo Toledo,Daily,10,1
55,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Delta Novi,Daily,8,1
56,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Delta Novi,Daily,9,1
57,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Delta Novi,Daily,10,1
58,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Delta Toledo,Daily,8,1
59,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Delta Toledo,Daily,9,1
60,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Delta Toledo,Daily,10,1
61,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,PPC Neville Island,Daily,8,1
62,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,PPC Neville Island,Daily,9,1
63,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,PPC Neville Island,Daily,10,1
64,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Sunoco Akron,Daily,8,1
65,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Sunoco Akron,Daily,9,1
66,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Sunoco Akron,Daily,10,1
67,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Sunoco Cleveland,Daily,8,1
68,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Sunoco Cleveland,Daily,9,1
69,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Sunoco Cleveland,Daily,10,1
70,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Sunoco Columbus,Daily,8,1
71,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Sunoco Columbus,Daily,9,1
