,Base_Gallons,Beginning_Gallons,Lifted_Gallons,Execution_Date,Supplier,product_name,Account_Type,terminal_name,period,batchno,change
35,0.0,0.0,0.0,2015-06-01 13:01:09,Murphy,89 MID,Unbranded,Chalmette LA (429) - Exxon,Weekly,6,0
36,0.0,0.0,0.0,2015-06-01 15:01:05,Murphy,89 MID,Unbranded,Chalmette LA (429) - Exxon,Weekly,7,0
37,0.0,0.0,0.0,2015-06-01 17:01:06,Murphy,89 MID,Unbranded,Chalmette LA (429) - Exxon,Weekly,8,0
38,0.0,0.0,0.0,2015-06-01 19:01:07,Murphy,89 MID,Unbranded,Chalmette LA (429) - Exxon,Weekly,9,0
39,0.0,0.0,0.0,2015-06-01 22:01:09,Murphy,89 MID,Unbranded,Chalmette LA (429) - Exxon,Weekly,10,0
40,0.0,0.0,0.0,2015-06-01 02:01:07,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,1,0
41,0.0,0.0,0.0,2015-06-01 05:01:09,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,2,0
42,0.0,0.0,0.0,2015-06-01 07:01:05,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,3,0
43,0.0,0.0,0.0,2015-06-01 09:01:07,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,4,0
44,0.0,0.0,0.0,2015-06-01 11:01:08,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,5,0
45,0.0,0.0,0.0,2015-06-01 13:01:09,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,6,0
46,0.0,0.0,0.0,2015-06-01 15:01:05,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,7,0
47,0.0,0.0,0.0,2015-06-01 17:01:06,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,8,0
48,0.0,0.0,0.0,2015-06-01 19:01:07,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,9,0
49,0.0,0.0,0.0,2015-06-01 22:01:09,Murphy,89 MID,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,10,0
50,0.0,0.0,0.0,2015-06-01 02:01:07,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,1,0
51,0.0,0.0,0.0,2015-06-01 05:01:09,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,2,0
52,0.0,0.0,0.0,2015-06-01 07:01:05,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,3,0
53,0.0,0.0,0.0,2015-06-01 09:01:07,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,4,0
54,0.0,0.0,0.0,2015-06-01 11:01:08,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,5,0
55,0.0,0.0,0.0,2015-06-01 13:01:09,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,6,0
56,0.0,0.0,0.0,2015-06-01 15:01:05,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,7,0
57,0.0,0.0,0.0,2015-06-01 17:01:06,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,8,0
58,0.0,0.0,0.0,2015-06-01 19:01:07,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,9,0
59,0.0,0.0,0.0,2015-06-01 22:01:09,Murphy,89 MID,Unbranded,Nashville (463) - Exxon,Weekly,10,0
60,0.0,0.0,0.0,2015-06-01 02:01:07,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,1,0
61,0.0,0.0,0.0,2015-06-01 05:01:09,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,2,0
62,0.0,0.0,0.0,2015-06-01 07:01:05,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,3,0
63,0.0,0.0,0.0,2015-06-01 09:01:07,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,4,0
64,0.0,0.0,0.0,2015-06-01 11:01:08,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,5,0
